name,regencyId
2 x 11 Enam Lingkuang,13
2 x 11 Kayu Tanam,13
Abab,16
Abad Selatan,53
Abang,51
Abeli,74
Abenaho,95
Abepura,91
Abiansemal,51
Aboy,95
Abuki,74
Abun,92
Abung Barat,18
Abung Kunang,18
Abung Pekurun,18
Abung Selatan,18
Abung Semuli,18
Abung Surakarta,18
Abung Tengah,18
Abung Timur,18
Abung Tinggi,18
Adian Koting,12
Adiluwih (Adi Luwih),18
Adimulyo,33
Adipala,33
Adiwerna,33
Adonara,53
Adonara Barat,53
Adonara Tengah,53
Adonara Timur,53
Aek Bilah,12
Aek Kuasan,12
Aek Kuo,12
Aek Ledong,12
Aek Nabara Barumun,12
Aek Natas,12
Aek Songsongan,12
Aere,74
Aertembaga (Bitung Timur),71
Aesesa,53
Aesesa Selatan,53
Afulu,12
Agandugume,94
Agats,93
Agimuga,94
Agisiga,94
Agrabinta,32
Aifat,92
Aifat Selatan,92
Aifat Timur,92
Aifat Timur Jauh,92
Aifat Timur Selatan,92
Aifat Timur Tengah,92
Aifat Utara,92
Aikmel,52
Aimando Padaido,91
Aimas,92
Aimere,53
Air Batu,12
Air Besar,61
Air Besi,17
Air Buaya (Airbuaya),81
Air Dikit,17
Air Hangat,15
Air Hangat Barat,15
Air Hangat Timur,15
Air Hitam,15
Air Hitam,18
Air Joman,12
Air Kumbang,16
Air Majunto,17
Air Naningan,18
Air Napal,17
Air Nipis,17
Air Padang,17
Air Periukan,17
Air Putih,12
Air Rami,17
Air Salek,16
Air Sugihan,16
Air Upas,61
Airgaram,95
Airgegas (Air Gegas),19
Airmadidi,71
Airpura,13
Airu,91
Aitinyo,92
Aitinyo Barat,92
Aitinyo Raya,92
Aitinyo Tengah,92
Aitinyo Utara,92
Ajangale,73
Ajibarang,33
Ajibata,12
Ajung,35
Akabiluru,13
Akat,93
Alafan (Alapan),11
Alak,53
Alalak,63
Alam Barajo,15
Alama,95
Alama,94
Alang Alang Lebar,16
Alas,52
Alas Barat,52
Alasa,12
Alasa Talumuzoi,12
Alemsom,95
Alian (Aliyan),33
Alla,73
Allu (Alu),76
Alok,53
Alok Barat,53
Alok Timur,53
Alor Barat Daya,53
Alor Barat Laut,53
Alor Selatan,53
Alor Tengah Utara,53
Alor Timur,53
Alor Timur Laut,53
Aluh Aluh,63
Amabi Oefeto,53
Amabi Oefeto Timur,53
Amahai,81
Amalatu,81
Amali,73
Amanatun Selatan,53
Amanatun Utara,53
Amandraya,12
Amanuban Barat,53
Amanuban Selatan,53
Amanuban Tengah,53
Amanuban Timur,53
Amar,94
Amarasi,53
Amarasi Barat,53
Amarasi Selatan,53
Amarasi Timur,53
Ambal,33
Ambalau,61
Ambalau,81
Ambalawi,52
Ambarawa,18
Ambarawa,33
Ambatkwi (Ambatkui),93
Amberbaken,92
Amberbaken Barat,92
Ambulu,35
Ambunten,35
Amen,17
Amfoang Barat Daya,53
Amfoang Barat Laut,53
Amfoang Selatan,53
Amfoang Tengah,53
Amfoang Timur,53
Amfoang Utara,53
Amonggedo,74
Ampana Kota,72
Ampana Tete,72
Ampek Angkek (IV Angkat Candung),13
Ampek Nagari (IV Nagari ),13
Ampel,33
Ampelgading,33
Ampelgading,35
Ampenan,52
Ampibabo,72
Amuma,95
Amungkalpia,94
Amuntai Selatan,63
Amuntai Tengah,63
Amuntai Utara,63
Amurang,71
Amurang Barat,71
Amurang Timur,71
Anak Ratu Aji,18
Anak Tuha,18
Anawi,95
Andam Dewi,12
Andey,91
Andir,32
Andong,33
Andoolo,74
Andoolo Barat,74
Andowia,74
Angata,74
Anggaberi,74
Anggalomoare,74
Anggana,64
Anggeraja,73
Anggi,92
Anggi Gida,92
Anggrek,75
Anggruk,95
Angkaisera,91
Angkinang,63
Angkola Barat,12
